playerID,Years_Batted,totGB,totRB,totHB,tot2B,tot3B,totHRB,totSOB,Years_Pitched,totGP,totRP,totHP,totW,totL,totHRP,totSOP,totIPOuts,totER,totBB,Years_Fielded,totGF,totA,totPO,totE,totDP,totPB,totCS,totInnOuts,totSB,debut,finalGame,deathYear,inducted
dobyla01,13,1543,961,1524,244,52,254,1019,0,0,0,0,0,0,0,0,0,0,0,13,1458,93,3658,65,30,0,0,16406,0,1947-07-05,1959-07-26,2003,1
boggswa01,18,2479,1528,3052,587,62,120,765,2,2,1,3,0,0,0,2,7,1,1,18,2323,4369,2146,234,481,0,0,59371,0,1982-04-10,1999-08-27,,1
milancl01,16,1982,1004,2100,240,105,17,197,0,0,0,0,0,0,0,0,0,0,0,16,1903,294,4095,216,58,0,0,0,0,1907-08-19,1922-09-22,1953,0
chandsp01,11,217,53,112,18,2,9,157,11,217,557,1355,111,45,64,630,4555,474,472,11,217,391,108,10,28,0,1,100,0,1937-05-06,1947-09-26,1990,0
keltnke01,13,1532,740,1572,308,69,163,483,0,0,0,0,0,0,0,0,0,0,0,13,1507,3081,1580,172,307,0,0,159,0,1937-10-02,1950-05-25,1991,0
lawve01,16,519,97,193,36,7,11,180,16,486,1281,2855,164,147,271,1100,8071,1125,600,16,487,459,213,19,41,0,0,7351,0,1950-06-11,1967-08-20,,0
mccarti01,21,1937,603,1525,244,60,99,431,0,0,0,0,0,0,0,0,0,0,0,21,1536,631,9087,103,129,132,337,37892,639,1959-09-10,1980-10-05,,0
watsobo01,19,1849,806,1849,311,42,186,798,0,0,0,0,0,0,0,0,0,0,0,18,1685,687,9981,112,783,4,1,40459,5,1966-09-09,1984-09-30,,0
dauerri01,10,1159,452,995,195,3,44,224,0,0,0,0,0,0,0,0,0,0,0,10,1227,2865,2156,75,673,0,0,27948,0,1976-09-11,1985-09-29,,0
wilsowi02,19,2192,1181,2247,285,149,42,1176,0,0,0,0,0,0,0,0,0,0,0,19,2069,79,5146,67,15,0,0,49267,0,1976-09-04,1994-05-16,,0
smithlo01,17,1676,937,1545,287,60,102,887,0,0,0,0,0,0,0,0,0,0,0,17,1401,110,2440,93,20,0,0,32602,0,1978-09-02,1994-08-10,,0
thomafr04,19,2338,1499,2479,496,12,524,1407,0,0,0,0,0,0,0,0,0,0,0,15,976,500,7943,80,779,0,0,25280,0,1990-08-02,2008-08-29,,1
cummica01,6,247,148,227,29,9,0,51,6,242,1450,2507,145,94,12,130,6449,595,117,6,254,319,108,70,10,0,0,0,0,1872-04-22,1877-08-18,1924,0
schulfr01,15,1827,917,1792,294,125,92,524,0,0,0,0,0,0,0,0,0,0,0,15,1758,198,2706,104,42,0,0,570,0,1904-09-21,1918-09-02,1949,0
gonzami01,17,1044,283,717,123,19,13,199,0,0,0,0,0,0,0,0,0,0,0,17,935,871,3628,86,133,72,0,6,0,1912-09-28,1932-09-07,1977,0
pizarju01,18,499,72,133,18,2,8,191,18,491,893,1812,131,105,201,1526,6115,779,892,18,491,300,74,12,15,0,0,6115,0,1957-05-04,1974-09-26,,0
schmija01,14,329,29,63,9,0,7,288,14,328,969,1872,133,97,187,1790,6086,889,801,14,328,165,93,11,6,0,0,6086,0,1995-04-28,2009-08-05,,0
